gene_name,microbiome_pvalue,tissue_pvalue,microbiome_logFC,tissue_logFC
STAB1,1.90E-05,0.000123,2.8651943,-1.2522182
SLC35E1,0.0114,0.000124,0.6773221,-0.6974441
NHSL2,0.000872,0.000124,2.3016257,0.3300359
LOC101060181///ZNF44,0.00609,0.000124,-0.6601076,0.3208212
PLCB4,3.22E-06,0.000124,-2.519064,-1.4993546
ITGA2B,0.00168,0.000124,1.498214,0.4355445
EXOSC5,0.00121,0.000124,1.1070175,0.6988759
PLGLB1///PLGLB2,0.0387,0.000124,-1.0305232,-0.68511
SYCN,1.28E-13,0.000124,11.0888528,5.9537911
KCNJ16,2.61E-08,0.000124,6.610707,0.7721048
GATA2-AS1,1.59E-05,0.000124,3.1169239,0.6198923
CYP4A22///CYP4A11,0.00106,0.000125,1.0981566,0.3939823
NDRG3,0.00378,0.000125,1.659818,0.4417827
RIMBP2,0.00477,0.000125,1.4712421,0.4615773
KANK2,1.71E-05,0.000125,1.4996766,-1.1245082
RUFY1,0.000139,0.000125,0.8044554,0.4217634
CALML4,1.88E-05,0.000125,-2.0019201,0.4234479
LINC01013,0.0108,0.000125,1.6590197,0.3689266
FOLR1,2.93E-05,0.000125,4.2567861,0.6030179
RPS28,0.0069,0.000125,0.7510688,0.4797896
C18orf61,3.86E-05,0.000125,3.3613532,0.7631048
DAAM1,1.96E-05,0.000125,-2.1535143,-0.9286529
MTR,0.0205,0.000125,0.5385237,-0.7422788
N4BP2L2,0.00294,0.000125,-1.4448292,-1.1516088
F11,5.03E-07,0.000125,4.6061003,1.5110629
MCM7,0.007,0.000125,-0.7879563,-0.7946729
SCARF2,0.000359,0.000125,2.3008102,0.4421798
BAZ1A,0.00252,0.000126,-0.7537164,-1.4530139
ACADSB,0.047,0.000126,0.7308715,0.6681223
PDE1A,2.45E-07,0.000126,2.8110474,-1.6051298
PRSS3,4.66E-08,0.000126,6.2224328,3.9250786
CKAP4,0.000294,0.000126,-1.0399943,0.4358887
CCNJ,0.0135,0.000126,1.139414,0.4222843
CYB5A,6.66E-05,0.000126,1.5506568,0.4515759
MRPS31,0.00811,0.000126,1.1643361,-0.7958332
KHSRP,0.0276,0.000126,1.0904398,-0.6311357
ITGAL,0.0097,0.000126,1.1878496,-1.736332
RAPGEF5,0.013,0.000126,0.7740172,0.4896955
C11orf72,0.0461,0.000126,0.5412857,0.4771395
COL6A1,1.56E-09,0.000127,3.3826253,-1.2071095
TAF8,0.0345,0.000127,0.6417125,0.45599
ZNF510,0.0328,0.000127,0.5529396,0.5319812
SAP30,0.0259,0.000127,1.1669607,0.7825559
ZHX3,0.00301,0.000127,1.0172655,0.3293662
ZNF75A,0.0171,0.000127,-0.6077389,-0.8486582
LOC284930,0.0218,0.000127,2.0530973,0.644362
PRKAR1B,0.00117,0.000127,1.8227393,0.4462734
THOC2,0.000249,0.000127,-1.0216369,-1.2067648
JMJD6,0.0306,0.000127,0.5012549,0.3425536
TSHZ2,0.00331,0.000127,1.1863312,0.5325384
IGDCC4,0.00505,0.000127,1.6327128,-1.7644361
DCTN5,0.0463,0.000127,-0.4581679,-0.6020443
ST6GALNAC1,3.61E-11,0.000128,-4.5215395,-2.6064671
IDH2,1.16E-05,0.000128,1.7171268,0.71498
LINGO3,0.00084,0.000128,1.3008565,0.3729155
ARHGEF7-AS2,0.0454,0.000128,1.4203339,0.2812957
SREK1,0.00104,0.000128,2.0281371,-0.6992793
RTFDC1,0.0384,0.000128,0.4346228,0.5393491
WDR13,0.0371,0.000128,0.552515,0.4940004
BAZ1B,0.0286,0.000128,-0.6781585,0.6409362
EBP,2.04E-05,0.000128,-1.5784487,0.4277821
C21orf58,0.00155,0.000128,1.3257585,0.7128016
ARHGAP22,0.0184,0.000128,1.6675525,0.4324998
GGTA1P,2.57E-06,0.000128,2.2247599,-1.239348
LOC100506548///RPL37,2.93E-05,0.000129,1.594797,0.9822439
C3orf18,0.00781,0.000129,1.3020252,0.4642882
NTRK3,1.63E-05,0.000129,2.4702737,0.5592504
AK1,0.0299,0.000129,-1.1718334,-0.8459109
NDN,6.24E-08,0.000129,2.9792153,-0.830783
AKNA,0.000433,0.000129,-1.6154478,0.4201987
LOC157740,0.0299,0.000129,1.1129163,0.2881673
TUBA1B,0.0029,0.00013,-0.7186471,-1.2931482
LOC400940,0.0348,0.00013,1.7553026,0.3969268
KCNJ8,3.32E-11,0.00013,6.265732,1.4834137
PRB1,0.0291,0.00013,-0.8235017,0.5088691
TUBA1B,0.0029,0.00013,-0.7186471,0.2754875
ERBB3,2.22E-08,0.00013,-1.9986756,0.4865034
SMURF2,0.014,0.00013,1.4622623,-0.9566343
PIAS2,0.00827,0.00013,1.0432189,0.6714107
PHLDA1,0.00271,0.00013,1.1756542,-0.9466232
PRPF40A,9.44E-05,0.00013,-0.8651279,-1.2420329
CD99L2,4.48E-05,0.00013,1.4910708,0.4378748
MED12,0.0241,0.00013,-1.0312001,-0.4228564
KIAA1328,0.00792,0.00013,1.1824449,0.5352737
CALU,0.0352,0.000131,0.5636186,-1.0721912
LINC00458,0.0109,0.000131,2.1242699,0.377873
NRF1,8.99E-05,0.000131,-1.8131346,0.3231104
MSN,0.00181,0.000131,1.345969,0.3847662
RBBP9,6.23E-05,0.000131,1.7825136,-0.4639755
KIAA0226L,1.09E-05,0.000131,2.1097542,-1.1299107
DRAXIN,0.00341,0.000131,2.1855165,0.2818754
MMP14,3.11E-06,0.000131,1.9113347,-1.5587873
WARS2,0.0151,0.000131,0.6774979,0.4939586
MINK1,0.0226,0.000131,1.3911614,-0.4996271
HLA-G,0.00232,0.000131,1.4577763,-1.0488821
USP49,0.000681,0.000131,1.7069541,0.3473702
KTI12///TXNDC12,0.03,0.000131,0.6179186,-0.5971486
STRAP,0.00483,0.000131,-0.8373608,-0.6110832
LOC642533,0.0012,0.000131,1.2760017,0.5784593
SPATC1,0.0185,0.000132,1.4004679,0.5365318
ANXA9,0.00405,0.000132,2.0666209,1.6112771
MGC15885,0.0243,0.000132,-0.6733879,0.3420789
MYCN,0.00447,0.000132,-1.5556021,0.5862884
PPARA,0.0072,0.000132,-0.6874518,0.575768
H3F3AP4///H3F3B///H3F3A,0.0125,0.000132,-0.5852103,-0.4222196
TTF2,0.0036,0.000132,-2.1506106,-0.8541459
TRIM7,0.0171,0.000132,-1.7716439,0.6196887
CPA2,3.94E-15,0.000132,10.6560616,5.3965396
SH3RF1,1.65E-06,0.000132,-1.9473534,-1.0093239
LMBR1,0.00784,0.000132,-0.6495135,0.5597361
UROS,0.0244,0.000132,-0.7253119,-0.6160687
LOC100507855///AK4,0.0373,0.000132,-1.3621206,-1.8721429
PTPRN2,0.00378,0.000132,1.669995,0.8596571
PPP1R26-AS1,0.0171,0.000132,-1.672827,0.3024105
NUDT11,3.86E-07,0.000132,4.0649676,0.8374039
LOC105374895,0.0102,0.000133,1.8124015,0.4236146
FAM200B,0.000266,0.000133,1.2026413,-0.9094386
CLN6,0.0346,0.000133,0.7357359,0.4293129
LZTS1,9.63E-07,0.000133,2.0797438,0.3907396
GPSM2,7.19E-08,0.000133,-2.9309025,-1.4864968
PDZRN3,0.000526,0.000133,2.6447059,0.2963682
SDF4,0.00383,0.000133,0.9244837,-0.4366982
MLPH,8.49E-10,0.000133,-2.632283,-1.7283007
ZGPAT///LIME1,0.00398,0.000133,-0.847458,-0.7736707
TSPAN16,0.012,0.000133,1.7635912,0.5141073
TARBP2,0.00501,0.000133,0.9187868,0.5352007
OR4D1,0.00754,0.000133,1.5399736,0.4621829
ITGAX,0.0294,0.000134,1.0715201,0.3721164
TAF1A,8.89E-05,0.000134,-1.4734138,-0.9419688
EMP2,0.000344,0.000134,-1.0805576,-1.1114079
TPP2,0.00193,0.000134,-0.8632194,0.2574023
LOC101927137///KIAA1456,0.00485,0.000134,1.5994772,0.5281745
NTRK2,5.32E-06,0.000134,3.7078868,0.4009082
NDE1,0.000216,0.000134,-1.5871651,-1.5219825
TDRKH,0.0354,0.000134,0.8928119,0.3781968
CDK5RAP2,0.00187,0.000134,-1.7809522,0.4978455
EPHB2,0.00777,0.000134,0.9666431,0.5133838
LOC105370746,0.0056,0.000134,1.7267364,0.3666009
PDPR,0.00355,0.000135,0.9881179,0.4294466
UBE3A,0.0065,0.000135,-0.7148627,-0.6456295
SMAD5,0.0122,0.000135,-0.9120169,-0.8374618
NBN,0.00802,0.000135,-0.610256,-0.9061796
UNC79,5.94E-05,0.000135,1.9740628,0.7870036
LAMB4,0.0185,0.000135,-1.6326845,0.3313998
C17orf64,0.000139,0.000135,2.737201,0.5061957
ZNF385C,0.00237,0.000135,1.833212,0.5372112
STARD3,0.0348,0.000135,0.8977174,-0.5029129
PPP1R8,0.0349,0.000135,0.495475,-0.5250014
LINC01096,0.00118,0.000135,2.0745587,0.4983114
SYT6,5.58E-07,0.000135,1.9037826,0.9445187
NT5C1B-RDH14///NT5C1B,0.0111,0.000136,1.8084195,0.2405218
CYLC1,0.00616,0.000136,1.4884208,0.3262893
MAPK8,0.00481,0.000136,-0.8701115,-0.8973995
ZNF205-AS1,0.0491,0.000136,0.90034,0.38351
C3orf58,0.026,0.000136,1.0721194,0.4547518
KIAA1033,0.002,0.000136,0.8713287,-1.0004127
TPI1,0.0352,0.000136,-0.7602414,-0.8913893
TPSAB1,4.32E-09,0.000136,4.0637888,-1.607115
SPTBN1,0.000339,0.000136,-2.1531488,-0.8436625
HTT,0.00416,0.000136,0.7936013,0.6558123
GAMT,3.59E-11,0.000136,6.0719128,2.0337409
ESCO1,0.00117,0.000137,-1.1545885,-1.0370296
CEACAM5,5.91E-06,0.000137,-6.9925567,-3.9631266
CAPN8,2.93E-09,0.000137,-3.9654145,-2.9941664
COX7B,0.0019,0.000137,-1.0506303,-0.7362411
EHMT2,0.0284,0.000137,1.3607614,-0.7465093
ZBTB38,0.00964,0.000137,-0.6088205,0.4244552
LRRC46,0.0323,0.000137,1.1939014,0.3986139
LINC01482,0.038,0.000138,1.3350924,0.4011279
CAMK2G,6.76E-05,0.000138,-2.1108428,-0.8796538
DSEL,2.80E-05,0.000138,3.7929402,-1.0936688
RAP2C-AS1,0.0219,0.000138,1.2439199,0.4586014
RASAL1,0.000683,0.000138,-1.6366838,0.5928268
LRTOMT,0.00726,0.000138,0.8458051,0.5852471
CD84,1.08E-05,0.000138,2.0856986,0.3203237
USP32///USP6,8.13E-05,0.000138,-1.3147796,0.37123
SULT1A1,0.0257,0.000138,1.0722169,0.4781998
LOC286114,0.0265,0.000138,1.5494978,0.2999927
RTFDC1,0.0384,0.000138,0.4346228,-0.5942079
ELF1,0.000841,0.000138,-0.928587,-0.7309563
LPP,0.000234,0.000139,-1.0620938,-1.2927907
ZBTB10,5.59E-05,0.000139,1.8726844,0.3783943
C10orf76,0.0183,0.000139,-1.1313487,-0.5298
HS6ST2,8.74E-09,0.000139,4.8839925,1.9135993
KIAA2022,5.20E-08,0.000139,5.4208182,0.4485957
NDUFB7,0.0132,0.000139,-0.6853405,0.5664362
ZNF550,0.0354,0.000139,0.532333,0.537272
CCAR1,2.25E-06,0.000139,-1.5324415,-0.6198496
ZNF366,3.05E-05,0.000139,3.0393637,0.4444189
FOXK2,0.00425,0.000139,1.6791596,0.4068193
DNAH7,0.00451,0.00014,1.2037902,0.3952987
CADM1,7.41E-05,0.00014,1.5539902,0.3330127
OTUD7B,0.00537,0.00014,-1.0451054,0.3509893
AJAP1,7.61E-07,0.00014,3.8507425,0.5551202
SP1,0.00399,0.00014,-0.7951058,-0.6057771
SHH,5.84E-07,0.00014,-2.4874841,0.4794364
FANCI,0.000236,0.000141,-1.8655241,-1.7393323
SMARCA4,0.00202,0.000141,-0.8061006,0.4688809
PKD1L2,0.0029,0.000141,1.5524996,0.6025698
OAT,0.0193,0.000141,-0.9292023,-1.0378239
KIAA1654,0.00776,0.000141,1.5467538,0.5408882
SPATA31E1,0.00798,0.000141,1.4395762,0.4286561
RHOBTB3,2.31E-05,0.000141,3.9807876,1.1960143
EFCAB2,0.00904,0.000141,1.9581946,0.4924646
ISG20,1.98E-05,0.000141,-3.4524832,-1.8924795
SLC22A23,0.00508,0.000141,-0.9796221,0.3951571
CPXM2,1.66E-09,0.000141,2.5593831,-1.425997
C17orf82,5.32E-05,0.000142,1.358107,0.5156818
ZMYM6,0.00022,0.000142,-1.0064785,0.3452446
WIPF1,0.00812,0.000142,1.2795229,-1.1608523
MORF4L2,0.0185,0.000142,-0.4190299,-0.6691661
CCDC169,0.0488,0.000142,1.2189221,0.4875454
CCL5,0.00849,0.000142,1.5134867,-1.4617402
MYBL1,1.55E-05,0.000142,2.4986663,-1.8118266
PTGS1,0.00657,0.000142,1.2048028,-1.6600441
KIAA1211,0.000928,0.000143,-1.6480082,-2.0382052
SLC18B1,0.00337,0.000143,-0.7835927,-1.0338402
TRAF3IP3,0.00712,0.000143,1.7547123,-1.6500066
RIF1,0.0213,0.000143,-1.4897442,-0.7494671
ITPKB,0.0142,0.000143,1.6045371,0.586067
CD74,0.00129,0.000143,1.8201961,-1.6488477
TBC1D9,0.0155,0.000143,1.8156298,-0.8170688
LOC284661,0.0494,0.000143,1.2927184,0.3633589
6-Sep,0.000465,0.000143,1.4085001,-1.0715664
ADGRG6,0.0441,0.000143,-0.9969189,0.3517462
PTCRA,0.00112,0.000144,1.0380281,0.555712
ARF6,6.38E-05,0.000144,-1.7480405,-0.7070584
KIAA0232,0.0175,0.000144,-0.6330701,-0.5116911
MAP2K2,0.0072,0.000144,1.5331305,0.4019575
LINC01512,0.0016,0.000144,2.5150163,0.5547171
SYK,1.45E-06,0.000144,-2.0364761,-1.0487377
KNOP1,0.00042,0.000144,-1.2622762,0.3959891
TAF15,0.000109,0.000144,-1.2783841,0.4407071
LOC101930296///TBC1D26///ZNF286A,0.0133,0.000144,1.5141736,0.4081421
PIM1,0.0298,0.000145,0.7605649,-0.8739068
HIST3H2A,0.0118,0.000145,-0.8598422,0.4313225
GREB1,3.53E-06,0.000145,4.6670767,0.2889323
SH3BP5,6.35E-07,0.000145,1.8852069,-1.2162327
BLZF1,0.0137,0.000145,-1.0367068,-0.869127
ARHGAP42,0.023,0.000145,-0.8709133,0.4498036
DNASE1,1.62E-05,0.000145,5.4009303,0.6964348
GAS7,5.78E-05,0.000145,1.7500298,-0.9716302
LMO7,2.34E-06,0.000146,-1.5721719,-0.89268
TMEM151B,0.0445,0.000146,1.3829883,0.5131452
MGAT4B,0.00135,0.000146,-1.1441203,-1.1343838
LOC101927760,0.0358,0.000146,0.875348,0.3903596
DAGLB,0.0458,0.000146,0.7125912,-1.0778023
JAZF1,0.00011,0.000146,1.4526463,-0.7879141
TIMP3,2.03E-09,0.000146,4.6904534,-1.5859005
GTF2IP4///GTF2IP1///GTF2I,0.0445,0.000146,-0.3858685,-0.5723375
FBXO2,0.000167,0.000146,2.6525427,0.6609262
KIAA1755,0.00441,0.000146,1.9233348,0.4679632
ARHGEF38,0.0208,0.000146,-0.8207782,0.3796684
CKAP2,0.0052,0.000146,-1.8293605,-1.273832
ITSN1,0.00309,0.000147,1.9277486,0.5123388
MORN1,0.00196,0.000147,1.7695928,0.367197
PKIG,1.11E-06,0.000147,2.1108935,-0.9127655
WIZ,0.0206,0.000147,0.5937692,0.4615916
CD99,0.000243,0.000147,1.4477444,-0.6473571
NUMB,0.000363,0.000147,-1.0791047,-0.9778361
IGFBP4,0.000285,0.000147,1.5702111,-1.6345457
CTNND2,1.50E-08,0.000147,4.9611281,0.2955314
GPR78///CPZ,7.34E-05,0.000147,2.8677799,-0.8716973
LINC00112,0.0198,0.000148,1.3812086,0.4588564
PRR22,0.0182,0.000148,1.0148748,0.4770811
HNRNPDL,0.00333,0.000148,1.0293262,0.5219584
MAST2,0.0113,0.000148,1.9220899,0.513483
ICAM1,0.00507,0.000148,1.5194134,-2.2269745
MAPK9,0.000554,0.000148,1.0347083,0.5819596
RIMKLB,2.16E-05,0.000148,1.5601159,-0.8678618
FOSL2,0.000257,0.000148,-1.0385719,-1.6782995
LAMB1,0.000146,0.000148,1.518035,-1.3945193
CALD1,2.70E-06,0.000149,2.1154969,-1.8332011
FCGR2A,8.98E-05,0.000149,2.7678206,-1.964178
FBXO10,0.000382,0.000149,1.8984388,0.622792
CASP2,0.000636,0.000149,2.0788294,0.4257316
SPAG9,1.00E-06,0.000149,1.6620146,-0.5962225
MR1,0.0026,0.000149,-1.4611877,0.4819777
CDIP1,0.00213,0.000149,1.9843018,0.5042234
GGPS1,0.00435,0.000149,-0.867077,-0.6768002
VIM,2.26E-11,0.000149,4.6316154,-1.169875
INO80B-WBP1///INO80B,0.00438,0.000149,1.2908756,0.3250875
USP37,0.0486,0.000149,-0.9191173,-0.423445
FZD5,1.31E-05,0.000149,-1.2737515,0.595638
LOC285638,0.0114,0.000149,0.9806788,0.565975
SNX5,1.32E-05,0.000149,-2.3019109,-0.5065141
AQP3,0.00944,0.000149,1.628609,1.0028037
AKAP10,8.53E-06,0.00015,-2.7190167,-0.5821714
DPYSL3,0.0014,0.00015,1.9583232,-1.3786357
EMP2,0.000344,0.00015,-1.0805576,-1.0254652
PRRC2C,1.00E-06,0.00015,-1.5483328,-0.8805645
TNS4,0.0104,0.00015,-1.1574322,0.542612
BLOC1S6,0.00537,0.00015,1.0412196,-0.8533896
ADAM33,0.000308,0.00015,1.9266907,-0.7247807
CDK5RAP1,0.0239,0.00015,-0.4747395,-0.5319254
ZNF440,0.0205,0.00015,-0.5999195,-0.6985327
FAS,0.0289,0.00015,0.8130291,-1.6277011
CYP2C9,0.00212,0.00015,-1.91679,0.5337154
JRK,0.00531,0.00015,-1.2606128,0.4623948
RHOBTB3,2.31E-05,0.00015,3.9807876,1.3190604
KAT6A,0.00664,0.000151,-0.8234173,-0.5207873
KATNAL2,0.00318,0.000151,1.8388776,0.3035727
SAT1,1.38E-05,0.000151,-1.8322277,-1.9692168
PFKFB4,0.023,0.000151,1.7038546,0.5122046
CD24,0.00255,0.000151,1.0775709,2.4823079
TMEM151B,0.0445,0.000151,1.3829883,0.5879768
PAK1,0.00155,0.000151,-1.009974,-1.2147841
HLA-DOB,0.0124,0.000151,1.6021934,0.5309761
CYB561,0.0112,0.000151,1.2041548,1.1181627
GLS2,4.85E-05,0.000151,3.4401619,0.2863661
HOXC13,0.000712,0.000152,1.6499046,0.490222
RNF152,0.0281,0.000152,2.0831291,0.4576011
MIOX,0.0136,0.000152,-1.4108481,0.3855052
DHFR2,0.00837,0.000152,-0.6913665,-0.6104327
MED7,0.00309,0.000152,-0.7182268,-0.8215446
MEI1,0.0152,0.000152,0.7544431,0.4173159
ZSCAN5A,0.012,0.000152,1.057475,0.6782168
ATP2C1,0.00017,0.000153,-1.077789,-0.9413561
REST,5.42E-05,0.000153,-2.2575333,-0.8595027
CROCCP3,0.00537,0.000153,1.271905,0.386262
LOC101930583///GOLGA8B///GOLGA8A,0.000146,0.000153,1.6785444,-0.8647827
MBTPS2,0.0212,0.000153,1.346593,-0.5214057
EFCAB1,0.0151,0.000153,1.5722072,0.5292321
TUBA1B,0.0029,0.000153,-0.7186471,-1.3675357
C2CD3,0.0137,0.000153,1.6164438,0.3436363
DCT,0.0013,0.000153,2.1465955,0.5570846
ARRB1,0.0433,0.000153,0.6499311,0.9901766
SLC38A4,0.000175,0.000153,2.7801632,1.2153586
ZC3H13,0.000524,0.000154,1.0156059,0.3786529
C11orf31,0.0045,0.000154,0.5547906,-0.5260029
IRGQ,0.0091,0.000154,-0.5735354,-0.3306361
C21orf62,0.000118,0.000154,2.1623496,0.8165916
ACOT9,0.0104,0.000154,-0.6187857,-0.9072463
BCR,0.00127,0.000154,-1.1598807,-1.0120995
TBC1D8B,0.000202,0.000154,-1.050485,-0.868122
ALDOB,0.0163,0.000154,-1.815935,0.483203
OAS1,0.00137,0.000155,-1.9474229,-1.8219321
ATG10,0.0331,0.000155,0.8226179,0.4207768
MBD3,4.14E-05,0.000155,1.0588143,0.4186798
LOC441204,0.046,0.000155,1.2546,0.437575
H2AFY,7.28E-05,0.000155,-1.4942131,-0.5061861
C17orf47,0.0169,0.000155,1.1586106,0.3879734
LOC729307,0.00459,0.000155,2.3043772,0.2451286
SHKBP1,0.00658,0.000155,-1.308963,-0.5850075
AHDC1,0.0476,0.000155,0.8309144,0.4528732
LOC100507506,0.0419,0.000156,1.3602243,0.5072027
TTLL5,0.000115,0.000156,-2.1182559,0.248288
IGFBP3,2.71E-05,0.000156,2.2518038,-2.550687
LOC101928718///FAM212B,0.0015,0.000156,1.1733684,0.4927441
SNX25,4.67E-06,0.000156,3.1845684,-0.7157046
POLR2C,0.0206,0.000156,0.593032,0.4690132
NCLN,0.0023,0.000157,1.328373,0.4749636
SYNJ2BP-COX16///SYNJ2BP,0.0281,0.000157,-0.4651174,-0.4330921
RUNX3,0.0167,0.000157,0.9992795,-1.2520996
LAMA3,6.92E-06,0.000157,-2.334536,0.4284555
SP100,0.00474,0.000158,0.6826144,-1.1008291
PARD6G,0.00196,0.000158,0.9019941,-0.7438875
COX15,0.0499,0.000158,-0.9018174,0.3032066
FAR2,0.000984,0.000158,-2.7328689,-1.136498
API5,0.00271,0.000158,0.9408259,-0.5299057
LSM4,0.00013,0.000158,-1.1340601,-0.8990884
KDM5A,1.12E-05,0.000158,-1.1942957,-0.5984852
ZNF22,4.06E-05,0.000158,1.1364186,0.8664873
PRKAA1,5.43E-06,0.000159,-2.2172732,-0.7117054
CYB5A,6.66E-05,0.000159,1.5506568,1.2357061
NPTXR,0.000126,0.000159,2.5499654,0.5989237
DOK3,0.000668,0.000159,0.8688445,0.498882
PLEC,0.0407,0.000159,0.6943582,-1.2284018
RHOT1,0.00327,0.000159,0.6308204,-0.6419702
TBC1D9,0.0155,0.000159,1.8156298,0.4109091
TPR,0.000102,0.00016,-1.2558119,-1.5839995
FBXW2,0.0448,0.00016,1.3411859,-0.4602816
WNT7B,0.0029,0.00016,1.8240126,0.552478
CLN6,0.0346,0.00016,0.7357359,0.2902661
SLMAP,0.00253,0.00016,-0.8093153,-1.4551098
LOC101927051,0.000402,0.00016,1.7511721,0.3611046
TRMT6,0.00315,0.00016,-0.6362259,-0.6107907
EPPK1,0.000208,0.00016,-2.0703891,-2.31143
GATM,2.61E-08,0.000161,3.5895465,3.2898339
FAM49B,0.0164,0.000161,-0.6885976,-0.8208554
GPR107,0.0208,0.000161,-0.6641489,-0.4936507
MCM3AP,4.52E-05,0.000161,1.9708845,0.338187
C3AR1,0.00103,0.000161,2.0641196,-1.3167427
ING5,0.00604,0.000161,0.8093625,0.4422396
ALG5,0.00467,0.000161,0.6733482,0.4043773
C3,0.000191,0.000161,2.8958561,-1.6419571
ENOX2,0.00598,0.000162,-0.9105464,0.6100507
NDUFB8,0.0427,0.000162,-0.5640958,-0.4359786
ARPP21,0.00435,0.000162,1.9582427,0.6122984
TBC1D30,0.0321,0.000162,0.7723576,1.094677
CAMK1G,0.00625,0.000162,1.270254,0.5175204
RAVER2,6.06E-05,0.000162,-1.4077976,-0.8168505
MED28,0.00242,0.000162,0.6861404,-0.6364536
CHML,0.0011,0.000162,-2.1609945,-0.5638364
PAX1,0.0461,0.000163,1.2937441,0.4582511
ORAI2,0.00955,0.000163,0.7222778,-1.1633768
HM13,0.00245,0.000163,1.0862713,0.5466918
SYNC,0.0012,0.000163,2.0972481,-1.6003439
CARD10,0.000172,0.000163,-1.2089769,0.5040916
MKX,0.000912,0.000163,2.8392595,0.4360595
ARF6,6.38E-05,0.000163,-1.7480405,-0.8685809
LOC101929368///FKBP1A,0.00267,0.000163,0.9479352,-0.7288646
TCTE1,0.00774,0.000164,0.903863,0.4578454
ICA1L,0.0107,0.000164,1.2899578,0.4400539
CDC14B,1.26E-06,0.000164,-1.7397663,0.2882373
ANK1,0.00387,0.000164,-1.0456286,0.4784205
SLCO1A2,0.0146,0.000164,1.8391279,0.4626082
YWHAH,0.000446,0.000164,-1.431902,0.3132005
GDF10,1.11E-05,0.000164,3.8929657,0.9807804
TIRAP,0.00922,0.000164,1.1283997,0.4448159
LINC00674,0.0157,0.000165,-0.8956773,0.3147166
MGST3,0.0238,0.000165,-0.6789866,-0.7213839
RBMS3,1.58E-06,0.000165,3.4017536,-0.956692
COCH,1.60E-05,0.000165,3.8267074,2.5866975
STK4,8.14E-07,0.000165,-1.8665779,-0.8228464
ORMDL3,0.00793,0.000165,0.8448842,0.79355
NCOR1,0.0243,0.000166,-0.5135463,-0.495605
G2E3,1.74E-05,0.000166,-1.390572,-0.901467
B3GNT5,0.000226,0.000166,-2.3062936,0.36931
MNT,0.049,0.000166,-0.4316314,0.5150107
STAT3,0.000231,0.000166,2.3278656,-0.7350607
ACSS1,0.0141,0.000166,1.4795636,0.6841582
SPATA21,0.0295,0.000166,1.0106879,0.3791446
CFLAR,0.0069,0.000167,-1.3172999,0.4145352
SMAD5-AS1,0.0433,0.000167,1.2804717,0.5241352
S100A6,2.43E-05,0.000167,-1.9552162,-2.3907552
PPARA,0.0072,0.000167,-0.6874518,0.3039189
BMP8B,0.00751,0.000167,1.5235376,0.5124384
LINC00894,0.00133,0.000167,-1.4072466,-0.4903189
C9orf3,6.77E-06,0.000167,-1.3285891,-0.7879388
LOC101926921///DAB2,0.000106,0.000167,2.6331042,0.2642587
MAP4K4,0.000146,0.000167,-1.5235989,-1.3044313
LOC285178,0.00429,0.000167,0.9882643,0.4831798
LOC101926913,0.00319,0.000167,-2.1452426,0.4118909
LCP1,0.00207,0.000167,1.3866352,-1.3127788
KLK2,0.00162,0.000168,1.9803343,0.4609491
VPS4B,0.0434,0.000168,-0.5231322,-0.9130662
NHLRC4,0.00481,0.000168,1.4732033,0.5020048
APLNR,0.0121,0.000168,1.3936484,-1.3767254
ARHGAP31,0.00519,0.000168,1.8042254,-0.7540911
MEX3C,0.0105,0.000168,-1.4265556,0.4220939
LOC100128079,0.00316,0.000168,1.9387826,0.332583
FAM49B,0.0164,0.000168,-0.6885976,-0.7896059
CA4,2.91E-05,0.000169,3.4924425,2.1547896
MIR612///NEAT1,1.07E-05,0.000169,-1.9094141,-1.8018927
ADGRG1,6.80E-05,0.000169,-1.463726,0.7086516
PES1,9.44E-05,0.000169,1.4950192,0.3742136
SNW1,0.000151,0.000169,-0.8735182,-0.5949711
TTC38,0.0172,0.000169,-0.6712658,0.5625193
JMJD6,0.0306,0.000169,0.5012549,-1.0643493
SAMD4A,0.017,0.000169,1.3826406,-1.2165879
TIE1,0.00245,0.000169,2.6351495,-1.7159446
AURKA,0.00214,0.000169,-1.6287256,0.392943
SHROOM1,0.000415,0.000169,2.0250956,0.5287018
PSG6,0.019,0.000169,1.2196148,0.4997489
CHRNE,0.00632,0.000169,1.7528973,0.4732604
TBX5-AS1,0.0167,0.000169,1.4005997,0.4503698
EBF3,0.000215,0.000169,1.4947909,0.3922998
LOC101929902,0.000299,0.00017,1.7307141,0.4108695
LINC00271,0.0358,0.00017,1.0779234,0.3375629
LINC01289,0.019,0.00017,1.7519429,0.2900341
CUL5,0.000313,0.00017,-1.2621339,-0.5963348
TP53TG5,0.0103,0.00017,1.0699528,0.394248
MTDH,0.00122,0.00017,-1.1285408,-0.9858554
SOX4,0.0367,0.00017,-0.9019914,-1.2932125
NXPH3,4.57E-05,0.00017,1.8702026,0.4462559
ATXN1,7.32E-05,0.000171,-1.4466192,-1.3678868
LOC100130452,0.0402,0.000171,1.7518005,0.336805
AIMP1,0.00042,0.000171,-0.9281799,-0.9226486
KHDC1,0.000531,0.000171,1.7753289,0.6875784
FOXF2,0.00175,0.000171,1.0366916,-1.4270737
KCNIP3,8.34E-07,0.000171,3.2765397,0.4055261
NCS1,0.0128,0.000171,1.8754966,0.5191305
CFAP44,0.000109,0.000171,-1.3089965,-0.5389063
CAMTA1,0.00663,0.000171,-1.4635312,-0.6644325
